latitude;longitude;name;postCode;city
45.20470314999699;5.717166430291381;635 Route de Clémencières;38423;Saint-Martin-le-Vinoux
45.199253;5.867186;3737 Route du Balcon de Belledonne;38420;Revel
45.10280575941386;5.684228450787892;41 Route du Pavillon;38524;Varces-Allières-et-Risset
45.18976728840083;5.71808054204799;38 Avenue Alsace Lorraine;38185;Grenoble
45.274627102032895;5.857280717089622;23 allée du Château;38039;Bernin
45.14283951021044;5.79072446772991;417 Route de la Cote;38188;Herbeys
45.177883079258486;5.888300975255917;762b Route d’’Uriage;38334;Revel
45.19165173747566;5.881527380802361;1555 Route du Soubon;38334;Revel
45.176412356203784;5.652955261173043;649a Route de Saint-Nizier;38485;Seyssinet-Pariset
45.18301664938456;5.8837641037678345;143d Chemin de Combe Rozet;38334;Revel
45.22927266482472;5.680469012613684;5 rue de l'ancienne poste;38382;Saint-Égrève
45.24715598814513;5.833401446629148;1450 Route de Chambéry;38397;Saint-Ismier
45.27377261245216;5.752975305669441;180 Route de la Guille;38472;Sarcenas
45.28254436315566;5.633176640312857;240 Chemin de Beauplan;38565;Voreppe
45.23214350677522;5.797349345148201;541e Route de Meylan;38045;Biviers
45.281610427550916;5.877412066992387;75 Impasse des Castors;38140;Crolles
45.17102359017151;5.73232855005541;52 Avenue Marcelin Berthelot;38185;Grenoble
45.2869827;5.6104336;Chemin du Petit Port;38540;Veurey-Voroize
45.133716398931554;5.778666427423069;295i Chemin du Cavin;38059;Brié-et-Angonnes
45.16329832633915;5.840542377674011;431 Route de Pinet;38422;Saint-Martin-d'Uriage
45.139685;5.840667;1415 Route du Bouloud;38422;Saint-Martin-d'Uriage
45.1418688869789;5.84880174446077;1196 Route de Pierval;38422;Saint-Martin-d'Uriage
45.11660584259181;5.676778009270126;22 Allee de la Veisseire;38111;Claix
45.23844386883823;5.8181604963974465;1 Allée du Jayet;38249;Montbonnot-Saint-Martin
45.15014537267394;5.721171906367337;8bis Rue Carmagnole Liberté;38151;Échirolles
45.25397266133223;5.723343347173473;777 Route de la Mearie;38328;Quaix-en-Chartreuse
45.18021897880686;5.724954041711352;15 Chemin de la Capuche;38185;Grenoble
45.13700659106129;5.693128330137816;20 Rue Aristide Bergès;38317;Le Pont-de-Claix
45.157752044860835;5.718609335647005;1 Allée d'Ouessant;38151;Échirolles
45.229559028875535;5.797425593890291;142 Chemin des Oiseaux;38045;Biviers
45.1568920520654;5.850852886299554;190 Chemin des Roux;38422;Saint-Martin-d'Uriage
45.10737033904847;5.870912130974852;2951 Route des Trolles;38567;Chamrousse
45.23871292551834;5.6726706337178365;30 rue des bonnais;38382;Saint-Égrève
45.2377459;5.6721744;4bis Rue des Bonnais;38382;Saint-Égrève
45.216322882658226;5.654584220210357;10 Chemin des Ecureuils;38474;Sassenage
45.27711418849668;5.895907883477105;450 Rue Henri Fabre;38140;Crolles
45.2228855012029;5.8231300812198885;Chemin des Communaux;38249;Montbonnot-Saint-Martin
45.114220179548674;5.684215071947227;10 Allee des Peupliers;38111;Claix
45.16749817906929;5.72921186070332;15 Rue des Bergeronnettes;38185;Grenoble
45.233526396861194;5.889702133771931;181 Chemin de Lancey;38120;La Combe-de-Lancey
45.13987921868479;5.735785933301269;Lieu-Dit Pain Loup;38151;Échirolles
45.193209573284065;5.880214926612728;374 Route de la Belle Etoile;38334;Revel
45.220815017921254;5.87619696289767;394 Chemin du Versoud;38120;La Combe-de-Lancey
45.209804401936665;5.737943420067728;2 Chemin de Noyarey;38516;La Tronche
45.19200459761872;5.703866637794805;52 Rue Diderot;38185;Grenoble
45.20755949421335;5.719165793470358;Les Combes;38423;Saint-Martin-le-Vinoux
45.11160655802227;5.804931273826684;6 Route des Frettes;38528;Vaulnaveys-le-Bas
45.184554428564354;5.744099554024057;3 Chemin des Arts;38185;Grenoble
45.15463124627159;5.700427040413204;Quai Roger Carrajat;38151;Échirolles
45.18967461032586;5.767525103480316;845 Rue des Residences;38421;Saint-Martin-d'Hères
45.29928628855885;5.645006479520604;660 Chemin du Clet;38565;Voreppe
45.27684328193594;5.709319464210266;4580 Route de la Charmette;38325;Proveysieux
45.127566175568866;5.60298767105523;111 Route des Montagnes de Lans;38205;Lans-en-Vercors
45.23363533632362;5.8853976439892595;100 Avenue des Papèteries;38547;Villard-Bonnot
45.260118153326815;5.66072779752801;9 Chemin des Carrières;38170;Fontanil-Cornillon
45.240968206070605;5.82178917012487;325 Route de Chambéry;38397;Saint-Ismier
45.10467153064214;5.78277628248618;110b Chemin des Harmonts;38059;Brié-et-Angonnes
45.127792850265486;5.669022524069628;78 Allee du Mont Aiguille;38111;Claix
45.241969798731255;5.658543295812056;2 Avenue de la Louisiane;38170;Fontanil-Cornillon
45.18773912458714;5.884906198004089;436 Route des Geymonds;38334;Revel
45.2348612;5.7636019;Fort du Saint-Eynard;38471;Le Sappey-en-Chartreuse
45.13159737584326;5.606862751628141;89 Chemin du Tremplin;38205;Lans-en-Vercors
45.10677430201549;5.803593232814987;387m Promenade de la Mondée;38528;Vaulnaveys-le-Bas
45.19489263085005;5.738120440223552;13ter Chemin de Ronde;38185;Grenoble
45.21837841602754;5.770402856978179;29 Chemin Saint - Bruno;38126;Corenc
45.25107835896147;5.854059793849007;98 Chemin de la Touvière;38431;Saint-Nazaire-les-Eymes
45.18997635696998;5.823085211698005;Montée de la Tour;38271;Murianette
45.17312227224159;5.663750831630921;8 Chemin du Sabot;38485;Seyssinet-Pariset
45.17438510870006;5.7686406154436884;1 Chemin du Pave;38421;Saint-Martin-d'Hères
45.24141172850718;5.648419529278811;1305 Chemin des Communaux;38281;Noyarey
45.1480923992631;5.722048292365078;4 Allée Joseph Kessel;38151;Échirolles
45.11655626529241;5.775884717748845;674b Route du Mont Rolland;38059;Brié-et-Angonnes
45.1731222;5.6867508;1 Rue de Vaucanson;38485;Seyssinet-Pariset
45.237558846771826;5.799592204246912;849 Chemin de l'Eglise;38045;Biviers
45.25641629761322;5.774446824971797;1949 Route du Col de Porte;38471;Le Sappey-en-Chartreuse
45.16671779208698;5.719724709580239;40 Avenue Léon Blum;38185;Grenoble
45.1166965678084;5.662843424145398;18 Chemin de Garetiere;38111;Claix
45.23790209075205;5.890110353305189;17bis Boulevard Jules Ferry;38547;Villard-Bonnot
45.18652088194365;5.877117092530189;318 Montee du Galapant;38334;Revel
45.25116834345279;5.742309212200292;304 Chemin du Bas de Montquaix;38328;Quaix-en-Chartreuse
45.169493976573285;5.64300625212382;368 Route des Michallons;38433;Saint-Nizier-du-Moucherotte
45.18262702624538;5.690896312446222;10 Boulevard des Frères Desaire;38485;Seyssinet-Pariset
45.1680786636894;5.858506619811987;880 Route d'Allevard;38422;Saint-Martin-d'Uriage
45.238265204968684;5.851167343506787;164 Allée de la Batie;38397;Saint-Ismier
45.123892880675506;5.783330341202348;3010a Route Napoléon;38059;Brié-et-Angonnes
45.18467157023203;5.886871314557437;312 Route des Molettes;38334;Revel
45.1697034008407;5.837757636053784;191 Route de la Ronzière;38422;Saint-Martin-d'Uriage
45.129387617708645;5.669117382726645;3 Rue des Giroudes;38111;Claix
45.1233097;5.8764909;Parking Vernon-P6;38410;Chamrousse
45.193614391235386;5.679232603096757;55 Rue Eugène Charbonnier;38169;Fontaine
45.14504690714725;5.694738868144528;1 Allée des 120 Toises;38151;Échirolles
45.270603239362416;5.653540236009841;3466 Avenue du 11 Novembre;38565;Voreppe
45.236742611876544;5.6464998261950194;460 Chemin du Meney;38281;Noyarey
45.115015393935685;5.685223831955356;10bis Allee des Peupliers;38111;Claix
45.19461698561023;5.6751007202333605;47 Avenue Ambroise Croizat;38169;Fontaine
45.152473504752805;5.798116894430906;310 Chemin du Fournet;38188;Herbeys
45.26785984164721;5.859578789770953;232 Chemin de la Rousse;38039;Bernin
45.22448538551423;5.759963382781698;Corenc;38126;Corenc
45.24134633578295;5.640723110010239;678 Chemin des Bauches;38281;Noyarey
45.29015934924958;5.63941129947876;104 Avenue Simone Veil;38565;Voreppe
